volume,rodada,cenario_a_s,cenario_b_s
10000,1,0.3005,5.3036
10000,2,0.2937,5.3015
10000,3,0.2914,5.2017
10000,4,0.2952,5.2887
10000,5,0.3126,5.2331
10000,6,0.2938,5.2701
10000,7,0.2927,5.3062
10000,8,0.2911,5.2805
10000,9,0.2908,5.4227
10000,10,0.2939,5.2861
50000,1,0.346,5.5825
50000,2,0.3393,5.4436
50000,3,0.3377,5.4963
50000,4,0.3434,5.4578
50000,5,0.3438,5.443
50000,6,0.3404,5.4632
50000,7,0.3415,5.5862
50000,8,0.3467,5.4312
50000,9,0.3402,5.4908
50000,10,0.3412,5.5061
100000,1,0.4179,5.7275
100000,2,0.4087,5.8075
100000,3,0.4064,5.8117
100000,4,0.4029,5.8055
100000,5,0.4043,5.8146
100000,6,0.4082,5.776
100000,7,0.4099,5.7302
100000,8,0.4016,5.7685
100000,9,0.4035,5.7278
100000,10,0.4086,5.9294
500000,1,1.1813,8.3237
500000,2,1.0115,7.9703
500000,3,1.0073,7.9373
500000,4,1.0154,8.0136
500000,5,1.0377,8.0623
500000,6,1.0151,8.1783
500000,7,1.0168,8.0104
500000,8,1.0291,8.0851
500000,9,0.9912,7.9526
500000,10,1.0063,7.7817
1000000,1,2.017,10.0991
1000000,2,1.8649,10.1513
1000000,3,1.8857,10.1362
1000000,4,1.9341,10.0712
1000000,5,1.8566,9.7238
1000000,6,1.8407,9.7708
1000000,7,1.8498,10.1093
1000000,8,1.8648,10.8183
1000000,9,1.8734,10.6576
1000000,10,1.863,11.0416
5000000,1,11.9998,26.5525
5000000,2,11.9907,26.2037
5000000,3,12.1229,27.678
5000000,4,12.2229,28.2736
5000000,5,12.409,28.9428
5000000,6,12.5404,29.9153
5000000,7,12.3334,29.1535
5000000,8,13.6741,30.4763
5000000,9,12.5029,28.8619
5000000,10,12.3315,29.069
