volume,cenario,media,desvio_padrao,minimo,maximo,mediana
10000,A,0.2956,0.0066,0.2908,0.3126,0.2938
10000,B,5.2894,0.0575,5.2017,5.4227,5.2874
50000,A,0.342,0.0029,0.3377,0.3467,0.3414
50000,B,5.4901,0.0555,5.4312,5.5862,5.477
100000,A,0.4072,0.0047,0.4016,0.4179,0.4073
100000,B,5.7899,0.0606,5.7275,5.9294,5.7908
500000,A,1.0312,0.0542,0.9912,1.1813,1.0152
500000,B,8.0315,0.1463,7.7817,8.3237,8.012
1000000,A,1.885,0.053,1.8407,2.017,1.8648
1000000,B,10.2579,0.437,9.7238,11.0416,10.1228
5000000,A,12.4128,0.4827,11.9907,13.6741,12.3324
5000000,B,28.5127,1.3654,26.2037,30.4763,28.9024
